id,created_at,subject_matter_1,subject_matter_2,topic_description,level,question,answer,explanation,accepted,show_again,correct_answer
1,2024-03-29T10:00:00,Mathematics,Algebra,Solving linear equations,Beginner,What is the solution to 2x + 3 = 11?,x = 4,"Subtract 3 from both sides, then divide by 2 to isolate x.",True,True,True
2,2024-03-29T10:05:00,Biology,Anatomy,Human Digestive System,Intermediate,Which enzyme helps in digesting proteins?,Trypsin,Trypsin is produced in the pancreas and helps in breaking down proteins in the small intestine.,True,True,True
3,2024-03-29T10:10:00,History,World War II,Battle of Stalingrad,Advanced,What year did the Battle of Stalingrad begin?,1942,The Battle of Stalingrad began in the summer of 1942 and lasted until early 1943.,True,True,True
4,2024-03-29T10:15:00,Computer Science,Programming,Object-Oriented Programming,Beginner,What is inheritance in object-oriented programming?,It allows a class to inherit properties and behavior from another class.,Inheritance promotes code reusability and establishes a relationship between classes.,True,True,True
5,2024-03-29T10:20:00,Chemistry,Organic Chemistry,Alkanes,Intermediate,What is the general formula for alkanes?,CnH2n+2,Alkanes are saturated hydrocarbons consisting of carbon and hydrogen atoms with single bonds.,True,True,True
6,2024-03-29T10:25:00,Literature,English Poetry,Shakespearean Sonnets,Advanced,Which Shakespearean sonnet begins with the line 'Shall I compare thee to a summer's day?',Sonnet 18,Sonnet 18 is one of the most famous sonnets by William Shakespeare.,True,True,True
7,2024-03-29T10:30:00,Physics,Mechanics,Newton's Laws of Motion,Beginner,What is Newton's first law of motion?,"An object at rest will remain at rest, and an object in motion will remain in motion unless acted upon by an external force.",This law is also known as the law of inertia.,True,True,True
8,2024-03-29T10:35:00,Geography,Physical Geography,Plate Tectonics,Intermediate,What type of boundary is the San Andreas Fault an example of?,Transform boundary,The San Andreas Fault is a transform boundary between the Pacific Plate and the North American Plate.,True,True,True
9,2024-03-29T10:40:00,Economics,Microeconomics,Supply and Demand,Advanced,What happens to equilibrium price and quantity when demand increases and supply decreases?,"Equilibrium price increases, and equilibrium quantity decreases.",This leads to a shortage in the market.,True,True,True
10,2024-03-29T10:45:00,Psychology,Behavioral Psychology,Classical Conditioning,Beginner,Who is known for the classical conditioning experiment involving dogs?,Ivan Pavlov,Pavlov's experiment demonstrated associative learning through conditioned responses.,True,True,True
11,2024-03-29T10:50:00,Art,Renaissance Art,Leonardo da Vinci,,,,,,,
