id,created_at,subject_matter_1,subject_matter_2,topic_description,level,question,answer,explanation,accepted,show_again,correct_answer
1,2024-03-29 10:00:00,Mathematics,Algebra,Solving linear equations,Beginner,What is the solution to 2x + 3 = 11?,x = 4,"Subtract 3 from both sides, then divide by 2 to isolate x.",TRUE,TRUE,FALSE
2,2024-03-29 10:05:00,Mathematics,Anatomy,Human Digestive System,Intermediate,Which enzyme helps in digesting proteins?,Trypsin,Trypsin is produced in the pancreas and helps in breaking down proteins in the small intestine.,TRUE,TRUE,TRUE
3,2024-03-29 10:10:00,Mathematics,World War II,Battle of Stalingrad,Advanced,What year did the Battle of Stalingrad begin?,1942,The Battle of Stalingrad began in the summer of 1942 and lasted until early 1943.,TRUE,TRUE,TRUE
4,2024-03-29 10:15:00,Computer Science,Programming,Object-Oriented Programming,Beginner,What is inheritance in object-oriented programming?,It allows a class to inherit properties and behavior from another class.,Inheritance promotes code reusability and establishes a relationship between classes.,TRUE,TRUE,FALSE
5,2024-03-29 10:20:00,Computer Science,Organic Chemistry,Alkanes,Intermediate,What is the general formula for alkanes?,CnH2n+2,Alkanes are saturated hydrocarbons consisting of carbon and hydrogen atoms with single bonds.,TRUE,TRUE,TRUE
6,2024-03-29 10:25:00,Computer Science,English Poetry,Shakespearean Sonnets,Advanced,Which Shakespearean sonnet begins with the line 'Shall I compare thee to a summer's day?',Sonnet 18,Sonnet 18 is one of the most famous sonnets by William Shakespeare.,TRUE,TRUE,FALSE
7,2024-03-29 10:30:00,Computer Science,Mechanics,Newton's Laws of Motion,Beginner,What is Newton's first law of motion?,"An object at rest will remain at rest, and an object in motion will remain in motion unless acted upon by an external force.",This law is also known as the law of inertia.,TRUE,TRUE,FALSE
8,2024-03-29 10:35:00,Psychology,Physical Geography,Plate Tectonics,Intermediate,What type of boundary is the San Andreas Fault an example of?,Transform boundary,The San Andreas Fault is a transform boundary between the Pacific Plate and the North American Plate.,TRUE,TRUE,FALSE
9,2024-03-29 10:40:00,Psychology,Microeconomics,Supply and Demand,Advanced,What happens to equilibrium price and quantity when demand increases and supply decreases?,"Equilibrium price increases, and equilibrium quantity decreases.",This leads to a shortage in the market.,TRUE,TRUE,TRUE
10,2024-03-29 10:45:00,Psychology,Behavioral Psychology,Classical Conditioning,Beginner,Who is known for the classical conditioning experiment involving dogs?,Ivan Pavlov,Pavlov's experiment demonstrated associative learning through conditioned responses.,TRUE,TRUE,TRUE
11,2024-03-29 10:50:00,Psychology,Renaissance Art,Leonardo da Vinci,,,,,,,
12,2024-03-29 10:00:00,Mathematics,Algebra,Solving linear equations,Beginner,What is the solution to 2x + 3 = 11?,x = 4,"Subtract 3 from both sides, then divide by 2 to isolate x.",TRUE,TRUE,FALSE
13,2024-03-29 10:05:00,Mathematics,Anatomy,Human Digestive System,Intermediate,Which enzyme helps in digesting proteins?,Trypsin,Trypsin is produced in the pancreas and helps in breaking down proteins in the small intestine.,TRUE,TRUE,FALSE
14,2024-03-29 10:10:00,Mathematics,World War II,Battle of Stalingrad,Advanced,What year did the Battle of Stalingrad begin?,1942,The Battle of Stalingrad began in the summer of 1942 and lasted until early 1943.,TRUE,TRUE,TRUE
15,2024-03-29 10:15:00,Computer Science,Programming,Object-Oriented Programming,Beginner,What is inheritance in object-oriented programming?,It allows a class to inherit properties and behavior from another class.,Inheritance promotes code reusability and establishes a relationship between classes.,TRUE,TRUE,FALSE
16,2024-03-29 10:20:00,Computer Science,Organic Chemistry,Alkanes,Intermediate,What is the general formula for alkanes?,CnH2n+2,Alkanes are saturated hydrocarbons consisting of carbon and hydrogen atoms with single bonds.,TRUE,TRUE,TRUE
17,2024-03-29 10:25:00,Computer Science,English Poetry,Shakespearean Sonnets,Advanced,Which Shakespearean sonnet begins with the line 'Shall I compare thee to a summer's day?',Sonnet 18,Sonnet 18 is one of the most famous sonnets by William Shakespeare.,TRUE,TRUE,TRUE
18,2024-03-29 10:30:00,Computer Science,Mechanics,Newton's Laws of Motion,Beginner,What is Newton's first law of motion?,"An object at rest will remain at rest, and an object in motion will remain in motion unless acted upon by an external force.",This law is also known as the law of inertia.,TRUE,TRUE,FALSE
19,2024-03-29 10:35:00,Psychology,Physical Geography,Plate Tectonics,Intermediate,What type of boundary is the San Andreas Fault an example of?,Transform boundary,The San Andreas Fault is a transform boundary between the Pacific Plate and the North American Plate.,TRUE,TRUE,TRUE
20,2024-03-29 10:40:00,Psychology,Microeconomics,Supply and Demand,Advanced,What happens to equilibrium price and quantity when demand increases and supply decreases?,"Equilibrium price increases, and equilibrium quantity decreases.",This leads to a shortage in the market.,TRUE,TRUE,FALSE
21,2024-03-29 10:45:00,Psychology,Behavioral Psychology,Classical Conditioning,Beginner,Who is known for the classical conditioning experiment involving dogs?,Ivan Pavlov,Pavlov's experiment demonstrated associative learning through conditioned responses.,TRUE,TRUE,FALSE
22,2024-03-29 10:50:00,Psychology,Renaissance Art,Leonardo da Vinci,,,,,,,
